89 500
23 21 849
23 44 849
23 81 849
23 69 849
23 30 849
23 88 849
49 54 849
16 60 849
25 78 850
33 84 850
83 56 852
83 1 852
83 87 852
60 16 867
60 67 867
60 54 867
60 15 867
85 88 867
70 80 867
80 70 867
77 60 867
77 60 868
60 77 868
30 69 869
21 55 869
87 56 869
88 60 871
77 61 872
4 38 872
77 61 872
38 4 873
25 4 874
4 25 876
77 61 890
54 52 890
60 66 891
29 60 892
44 22 893
83 82 894
83 64 894
87 56 896
49 78 897
83 56 897
56 83 897
54 48 913
48 54 914
56 87 914
87 56 915
85 87 915
63 17 916
52 54 917
62 23 917
62 66 917
33 84 918
83 56 919
64 16 920
22 44 920
64 16 920
83 1 922
0 70 1009
80 25 1010
38 4 1010
48 54 1011
88 84 1014
64 85 1015
87 85 1015
57 67 1015
85 64 1015
49 54 1015
54 22 1016
50 57 1016
60 30 1016
16 64 1017
60 29 1018
87 56 1018
87 1 1018
87 83 1018
83 1 1019
3 67 1023
30 66 1034
11 39 1034
38 4 1036
39 11 1036
18 46 1037
18 53 1037
18 38 1037
18 26 1037
18 37 1037
11 30 1038
44 49 1039
14 15 1040
85 46 1040
55 64 1040
55 50 1040
48 54 1041
25 88 1042
88 8 1044
26 65 1046
26 46 1047
26 24 1047
26 65 1047
26 57 1047
3 15 1047
48 54 1057
39 11 1057
49 60 1057
54 48 1058
60 29 1059
54 48 1060
48 54 1060
83 1 1060
57 67 1060
57 52 1060
11 39 1060
48 54 1061
65 46 1061
65 24 1061
65 26 1061
39 11 1061
57 24 1061
57 26 1061
48 2 1062
48 67 1062
48 24 1062
32 80 1062
57 26 1062
57 26 1062
87 21 1062
54 48 1063
2 48 1063
25 88 1063
84 88 1063
85 66 1063
85 66 1063
85 66 1063
54 48 1063
19 9 1064
64 16 1064
24 48 1064
48 24 1064
87 1 1065
87 83 1065
64 16 1065
88 60 1066
88 16 1066
88 15 1066
23 60 1067
23 7 1067
23 59 1067
23 62 1067
23 5 1067
23 66 1067
23 21 1067
23 44 1067
23 81 1067
23 69 1067
23 30 1067
23 88 1067
70 19 1080
70 19 1080
4 38 1084
38 4 1084
49 60 1085
4 38 1085
18 46 1085
18 53 1085
18 38 1085
18 26 1085
18 37 1085
65 24 1085
14 88 1085
55 25 1086
55 80 1086
25 55 1086
70 19 1087
80 70 1087
16 9 1088
54 65 1088
49 44 1088
38 4 1088
23 66 1089
48 65 1089
43 49 1090
54 65 1104
32 65 1105
2 65 1105
54 65 1105
54 16 1105
48 24 1105
71 66 1106
67 65 1106
71 66 1106
67 54 1106
33 84 1107
19 70 1107
52 65 1107
54 67 1107
80 55 1107
17 65 1107
70 19 1108
11 39 1108
11 55 1108
24 65 1108
24 65 1108
43 56 1108
43 67 1108
43 49 1108
43 55 1108
43 50 1108
43 80 1108
70 19 1108
22 54 1108
60 22 1109
52 84 1109
84 65 1110
39 11 1110
49 60 1110
18 8 1110
51 38 1112
4 38 1112
49 55 1112
49 80 1112
60 38 1112
60 15 1112
46 66 1114
16 32 1143
16 4 1143
4 38 1156
4 38 1157
38 4 1161
38 4 1161
38 54 1166
38 54 1166
38 54 1166
11 39 1176
54 60 1177
54 67 1178
85 64 1179
60 54 1179
60 38 1179
60 15 1179
65 24 1179
65 24 1179
87 83 1179
35 43 1179
50 52 1180
87 83 1180
87 83 1180
57 52 1181
88 25 1181
88 60 1181
88 15 1181
88 14 1182
88 14 1182
50 67 1182
52 57 1182
38 4 1183
14 88 1183
14 33 1183
38 60 1183
33 84 1183
60 38 1183
60 38 1183
60 54 1184
84 52 1184
52 84 1185
85 46 1185
54 65 1201
49 32 1201
49 67 1201
49 54 1201
49 52 1201
49 48 1201
2 14 1202
71 66 1202
80 55 1202
38 4 1203
49 16 1203
55 25 1203
49 55 1204
49 60 1204
24 46 1205
24 26 1205
24 65 1205
24 57 1205
55 49 1205
55 80 1205
55 84 1206
55 63 1206
55 17 1206
49 55 1206
54 67 1207
54 65 1207
54 48 1207
35 56 1207
56 35 1207
54 65 1208
88 61 1208
80 55 1212
80 57 1225
18 46 1225
18 53 1225
18 38 1225
18 26 1225
18 37 1225
18 4 1225
64 1 1225
83 1 1226
23 58 1227
50 67 1227
26 46 1227
26 24 1227
26 65 1227
26 57 1227
44 14 1227
44 33 1227
44 13 1227
24 46 1227
24 26 1227
24 65 1227
24 57 1227
57 26 1227
25 11 1228
14 33 1229
65 26 1229
66 71 1229
66 69 1229
66 71 1229
66 60 1229
66 7 1229
66 59 1229
66 62 1229
66 5 1229
66 21 1229
66 44 1229
66 81 1229
66 30 1229
66 88 1229
66 71 1229
4 18 1230
85 35 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
70 19 1230
35 85 1231
85 64 1232
35 14 1233
49 54 1234
85 16 1234
85 25 1234
85 64 1234
85 9 1234
85 1 1234
85 19 1234
85 35 1234
1 61 1237
87 63 1248
35 85 1250
61 1 1250
43 14 1251
85 24 1251
4 32 1251
4 38 1251
63 65 1252
63 24 1253
18 46 1255
18 53 1255
18 38 1255
18 26 1255
18 37 1255
71 66 1256
65 24 1257
71 8 1257
83 1 1257
33 14 1259
25 85 1259
83 85 1261
48 85 1272
87 85 1274
62 88 1274
83 85 1275
83 1 1275
38 4 1276
65 24 1277
65 24 1277
65 24 1277
65 24 1277
24 65 1277
65 24 1277
65 24 1277
83 85 1277
48 54 1277
24 65 1278
55 70 1279
55 50 1279
55 80 1279
14 56 1280
19 70 1299
83 85 1332
88 60 1344
88 16 1344
88 15 1344
70 19 1344
77 60 1346
77 49 1346
49 77 1346
83 85 1346
23 60 1346
23 7 1346
23 59 1346
23 62 1346
23 5 1346
23 66 1346
23 21 1346
23 44 1346
23 81 1346
23 69 1346
23 30 1346
23 88 1346
67 43 1346
23 60 1347
23 7 1347
23 59 1347
23 62 1347
23 5 1347
23 66 1347
23 21 1347
23 44 1347
23 81 1347
23 69 1347
23 30 1347
23 88 1347
60 77 1347
77 49 1347
43 67 1347
85 9 1349
49 32 1349
49 67 1349
49 54 1349
49 52 1349
49 48 1349
71 66 1350
71 66 1350
24 65 1350
71 66 1350
71 66 1350
85 25 1350
48 49 1351
48 15 1351
43 56 1351
43 67 1351
43 49 1351
43 70 1351
43 55 1351
43 50 1351
43 80 1351
80 43 1351
57 26 1352
26 57 1352
57 26 1352
26 57 1353
25 85 1353
57 26 1353
85 16 1354
85 25 1354
85 9 1354
85 19 1354
85 35 1354
32 55 1357
70 43 1368
58 66 1369
26 49 1370
80 55 1370
29 60 1370
26 49 1370
67 54 1371
66 58 1371
83 56 1371
14 86 1372
46 85 1373
65 54 1374
30 60 1374
49 55 1376
55 49 1376
58 66 1377
84 52 1378
84 52 1378
84 52 1378
25 78 1380
88 61 1391
26 24 1393
26 65 1393
26 57 1393
24 65 1395
86 14 1395
35 56 1395
70 19 1396
55 80 1397
33 14 1397
57 46 1397
57 24 1397
57 26 1397
57 65 1397
44 60 1398
57 80 1398
80 57 1399
52 37 1399
70 19 1399
70 19 1399
24 65 1399
71 8 1401
71 30 1401
71 66 1401
71 8 1401
71 30 1401
71 8 1401
71 66 1401
71 30 1401
71 8 1408
71 66 1408
32 25 1418
51 26 1419
67 60 1419
19 70 1420
70 19 1420
70 19 1420
57 24 1421
57 26 1421
57 65 1421
26 57 1421
57 26 1421
26 57 1421
25 88 1421
26 57 1421
14 86 1421
57 26 1421
57 26 1421
35 56 1421
35 14 1422
35 16 1422
35 25 1422
66 58 1422
14 35 1422
35 14 1422
25 85 1423
87 35 1425
57 24 1425
57 26 1425
57 65 1425
57 35 1425
83 8 1425
83 25 1425
83 62 1425
83 46 1425
83 24 1425
83 65 1425
83 50 1425
83 37 1425
83 63 1425
83 86 1425
58 66 1425
80 55 1426
25 88 1428
55 80 1432
80 55 1442
70 19 1444
25 88 1444
55 80 1445
37 60 1445
4 46 1448
4 24 1448
4 58 1448
4 64 1448
4 53 1448
4 32 1449
4 56 1449
24 4 1449
4 87 1449
4 1 1449
4 12 1449
58 4 1451
32 4 1500
87 4 1512
30 60 1514
80 55 1515
77 15 1515
77 15 1515
43 56 1515
43 67 1515
43 49 1515
43 70 1515
43 55 1515
43 50 1515
43 80 1515
55 80 1515
43 2 1515
43 37 1515
87 46 1515
87 83 1515
16 60 1516
25 16 1517
16 60 1517
9 16 1518
57 65 1518
30 55 1518
16 54 1518
65 57 1518
67 32 1518
23 30 1519
78 37 1519
88 15 1519
32 67 1519
77 88 1519
88 25 1519
88 15 1520
88 35 1520
38 32 1520
57 26 1520
26 57 1521
57 26 1521
61 60 1537
23 46 1538
23 9 1538
23 58 1538
23 30 1538
88 2 1539
88 54 1539
2 88 1540
80 25 1540
61 16 1540
54 88 1540
71 66 1540
71 8 1540
71 66 1540
71 30 1540
71 66 1540
71 30 1540
71 66 1540
71 30 1540
71 66 1540
49 60 1541
88 61 1541
23 62 1541
88 78 1541
88 84 1541
80 55 1541
88 14 1542
88 86 1542
88 39 1542
88 25 1542
25 67 1542
61 88 1542
67 25 1543
88 66 1543
88 8 1543
49 85 1543
87 39 1543
49 83 1543
61 56 1543
49 23 1543
49 29 1543
49 63 1543
49 17 1543
49 71 1543
49 66 1543
55 49 1544
55 25 1544
49 55 1544
25 49 1545
25 55 1545
46 23 1546
48 65 1561
49 60 1562
35 26 1562
26 35 1563
14 88 1563
39 88 1565
19 16 1566
19 25 1566
19 64 1566
19 9 1566
19 85 1566
19 1 1566
19 35 1566
23 39 1567
23 46 1567
25 88 1568
88 60 1733
88 15 1733
88 25 1779
83 1 1827
26 51 1827
83 85 1828
83 56 1828
83 1 1828
83 1 1828
85 4 1829
4 38 1829
48 65 1829
24 65 1830
12 4 1830
48 60 1830
48 54 1830
54 49 1830
4 85 1831
4 12 1831
85 4 1831
58 11 1831
58 39 1831
58 30 1831
4 85 1831
60 48 1831
4 85 1832
48 60 1832
48 54 1832
54 49 1832
60 30 1832
49 54 1832
88 15 1832
88 60 1832
77 60 1833
60 15 1833
88 25 1850
56 4 1852
4 53 1852
83 56 1852
4 64 1852
4 46 1852
56 83 1852
4 85 1853
83 56 1853
62 88 1853
62 30 1853
62 69 1853
62 60 1853
62 23 1853
62 7 1853
62 5 1853
62 66 1853
62 49 1853
62 21 1853
62 44 1853
62 81 1853
43 80 1854
49 32 1854
49 52 1854
49 48 1854
49 48 1854
49 32 1854
49 52 1854
49 32 1854
49 52 1854
49 48 1854
49 67 1854
49 15 1854
12 4 1854
49 60 1855
22 88 1856
88 60 1857
88 16 1857
88 15 1857
16 25 1857
38 4 1857
4 12 1857
80 67 1858
80 56 1858
80 49 1858
80 70 1858
80 43 1858
80 55 1858
80 50 1858
80 70 1858
32 25 1863
88 14 1873
88 60 1873
85 4 1873
25 14 1874
14 88 1874
80 56 1874
80 67 1874
80 49 1874
80 70 1874
80 43 1874
80 55 1874
80 50 1874
83 56 1875
88 60 1876
4 1 1876
88 25 1877
48 54 1877
60 16 1879
22 88 1879
83 56 1879
64 16 1880
66 71 1880
4 38 1880
18 26 1880
80 55 1881
48 54 1881
3 15 1897
35 25 1899
1 4 1900
48 54 1900
38 4 1900
80 43 1900
85 83 1901
85 31 1901
4 38 1901
77 3 1901
4 1 1902
33 84 1902
54 60 1903
35 46 1905
35 26 1905
14 33 1907
49 54 1922
1 64 1924
67 32 1924
77 61 1925
16 64 1925
11 60 1925
37 26 1926
37 38 1926
37 27 1926
37 4 1926
37 51 1926
37 18 1926
37 46 1926
37 53 1926
88 25 1926
63 17 1926
49 52 1926
49 48 1926
49 32 1926
49 67 1926
49 54 1926
48 24 1927
48 54 1927
24 48 1927
88 60 1927
64 16 1927
22 3 1927
87 83 1928
33 26 1928
4 37 1928
60 21 1929
60 68 1929
60 44 1929
60 29 1929
60 71 1929
60 30 1929
60 66 1929
60 23 1929
60 7 1929
60 59 1929
60 72 1929
60 62 1929
60 5 1929
60 49 1929
4 49 1931
14 35 1952
83 56 1955
26 46 1993
26 24 1993
26 27 1993
26 35 1993
26 57 1993
26 35 1993
80 25 1994
67 43 1995
54 67 1995
30 60 1995
87 83 1996
43 67 1996
25 68 1997
30 12 1997
60 16 1997
77 60 1998
67 43 1999
60 30 2000
60 62 2000
60 67 2001
87 84 2001
24 87 2002
55 80 2002
54 48 2017
66 71 2017
30 49 2018
30 69 2018
30 71 2018
30 81 2018
30 44 2018
30 21 2018
30 68 2018
30 60 2018
30 23 2018
30 7 2018
30 72 2018
30 62 2018
30 5 2018
30 66 2018
67 54 2018
80 55 2020
25 80 2020
24 21 2020
49 70 2023
23 58 2024
23 30 2024
54 32 2041
54 67 2041
54 52 2041
54 49 2041
54 48 2041
54 67 2041
54 32 2041
54 52 2041
54 49 2041
54 48 2041
85 31 2042
52 54 2042
49 54 2042
80 55 2043
48 54 2043
48 60 2043
60 62 2044
60 23 2044
83 87 2045
87 83 2045
24 56 2045
54 24 2045
56 24 2045
83 1 2045
23 9 2046
49 54 2046
80 50 2047
80 70 2047
80 43 2047
80 55 2047
80 56 2047
80 67 2047
80 49 2047
39 11 2047
67 48 2048
30 60 2048
56 43 2048
29 60 2048
60 88 2049
60 25 2049
57 24 2049
57 26 2049
60 11 2049
48 54 2049
60 15 2050
54 48 2050
48 25 2065
19 70 2065
80 39 2066
55 25 2066
25 48 2068
48 25 2068
84 52 2069
39 60 2070
55 80 2071
60 54 2072
11 60 2072
54 60 2073
80 55 2073
77 15 2073
33 84 2073
80 49 2073
25 60 2073
49 80 2073
48 54 2074
55 80 2080
54 44 2088
54 37 2088
54 78 2088
54 22 2088
54 53 2088
54 52 2088
26 46 2088
26 24 2088
26 27 2088
26 35 2088
26 57 2088
54 48 2089
57 26 2090
26 57 2090
57 26 2090
80 55 2090
26 57 2090
57 26 2090
26 57 2090
57 26 2090
48 54 2090
49 54 2090
2 78 2091
60 43 2093
16 25 2093
83 56 2094
85 64 2094
85 1 2094
43 49 2095
25 64 2096
25 64 2096
25 78 2096
66 8 2096
66 71 2096
66 8 2096
66 71 2096
66 71 2096
66 8 2096
60 16 2097
60 25 2097
25 64 2097
25 16 2099
64 16 2102
64 16 2102
54 48 2160
54 49 2161
54 32 2161
54 67 2161
54 52 2161
54 48 2161
48 54 2161
54 49 2161
48 43 2161
83 56 2162
83 87 2162
49 54 2163
60 15 2163
80 56 2164
80 67 2164
80 49 2164
80 70 2164
80 43 2164
80 50 2164
80 55 2164
14 11 2164
57 24 2165
57 26 2165
57 35 2165
60 15 2165
83 85 2165
33 84 2165
54 49 2165
80 25 2165
25 64 2166
43 56 2166
21 30 2166
56 43 2167
67 54 2167
43 63 2168
64 16 2168
30 60 2168
80 25 2169
21 49 2169
87 84 2169
87 46 2169
23 60 2170
55 32 2174
55 32 2174
48 11 2185
37 53 2186
53 37 2186
24 46 2186
24 26 2186
24 35 2186
24 57 2186
67 49 2186
49 67 2186
49 67 2186
49 67 2187
48 54 2187
50 52 2187
49 4 2187
49 87 2188
49 58 2188
49 56 2188
49 32 2188
32 49 2188
19 70 2189
85 29 2189
49 54 2190
53 37 2190
49 60 2190
46 55 2190
49 43 2190
49 43 2191
49 54 2191
49 67 2191
64 16 2191
55 80 2192
64 16 2192
55 80 2192
24 35 2192
50 24 2192
64 16 2192
35 24 2192
67 49 2192
55 32 2192
39 1 2193
49 56 2193
24 35 2193
50 24 2193
83 87 2193
26 57 2194
57 26 2194
26 57 2194
57 26 2194
26 57 2195
26 57 2195
57 26 2195
26 57 2195
57 26 2195
26 57 2195
57 26 2195
56 49 2210
49 15 2211
24 54 2211
48 24 2211
21 60 2211
77 15 2212
24 54 2212
61 43 2213
48 54 2213
54 49 2213
44 11 2216
44 60 2216
43 61 2216
87 49 2218
49 87 2218
55 4 2220
60 16 2233
39 80 2234
39 12 2234
39 11 2234
48 61 2236
85 61 2236
56 87 2236
26 35 2236
26 35 2236
54 48 2237
24 35 2238
24 35 2238
87 56 2239
60 16 2239
30 60 2240
29 49 2240
49 78 2240
83 56 2241
71 8 2243
71 66 2243
71 30 2243
71 8 2243
71 66 2243
60 12 2244
60 21 2244
83 56 2259
26 57 2260
26 27 2260
26 35 2260
26 46 2260
26 24 2260
52 57 2260
49 54 2260
49 54 2260
52 57 2261
49 43 2263
87 49 2263
49 54 2263
23 57 2263
57 23 2263
49 43 2264
57 27 2264
25 16 2265
23 25 2265
16 25 2265
49 4 2266
54 50 2328
56 54 2331
52 57 2333
25 78 2333
57 52 2333
48 40 2334
60 15 2334
43 56 2335
23 60 2336
35 25 2337
35 64 2337
35 85 2337
35 1 2337
35 19 2337
25 78 2339
83 56 2339
48 57 2353
54 63 2354
33 46 2354
67 49 2354
62 23 2355
25 23 2355
80 25 2355
57 48 2355
52 57 2355
52 60 2355
60 52 2357
80 39 2357
54 65 2357
48 54 2357
60 16 2357
16 64 2357
48 25 2357
87 25 2357
25 87 2358
23 25 2359
23 25 2359
25 23 2360
23 25 2360
39 80 2360
14 15 2361
83 56 2363
77 14 2378
67 48 2378
54 52 2379
39 11 2379
35 33 2380
88 60 2380
43 49 2380
87 1 2381
87 83 2381
87 83 2381
80 70 2381
57 24 2382
57 26 2382
57 65 2382
65 24 2382
70 43 2383
70 43 2383
48 54 2383
26 57 2384
50 17 2385
54 48 2385
48 24 2385
83 56 2387
43 2 2401
43 56 2401
48 54 2402
35 65 2402
35 26 2402
35 46 2402
87 56 2402
56 83 2403
83 1 2403
50 65 2403
57 35 2403
57 46 2403
57 24 2403
57 26 2403
57 65 2403
80 70 2403
57 52 2403
66 71 2403
54 2 2404
62 52 2404
52 62 2404
48 24 2405
24 48 2405
67 25 2406
35 16 2406
24 65 2406
65 24 2406
1 35 2407
57 65 2408
57 35 2408
57 46 2408
57 24 2408
57 26 2408
65 24 2408
29 60 2409
23 60 2409
23 58 2409
24 65 2410
30 11 2410
84 65 2410
83 35 2412
83 35 2412
35 26 2412
60 29 2412
54 2 2424
48 57 2426
26 25 2426
37 56 2426
11 39 2427
57 48 2427
54 48 2428
16 61 2429
25 26 2429
87 56 2429
30 60 2429
35 26 2430
24 26 2430
23 35 2431
66 71 2432
66 71 2432
66 71 2432
43 40 2432
48 50 2432
64 16 2432
50 48 2432
71 8 2432
71 66 2432
71 30 2432
71 66 2432
66 71 2433
71 66 2433
71 30 2433
71 66 2433
66 71 2433
71 66 2433
71 8 2433
85 83 2433
83 85 2433
83 85 2434
8 17 2496
8 66 2496
8 71 2496
1 25 2497
1 64 2497
1 85 2497
1 35 2497
70 43 2498
43 70 2498
35 23 2498
80 23 2499
80 62 2499
56 83 2499
14 15 2499
35 64 2499
35 25 2499
24 54 2500
44 1 2501
54 48 2502
1 44 2502
48 54 2502
4 38 2503
83 56 2504
54 49 2504
83 56 2504
43 11 2504
